"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20191101 ~ 20201031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","-","26.5","전세","201912","3","3,500","0","2003","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","월세","202004","3","300","25","2008","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27","월세","202003","4","4,000","7","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","27","월세","202001","7","300","33","2014","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27","전세","202003","4","4,000","0","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","전세","201912","6","4,000","0","null","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","전세","201912","8","4,000","0","null","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","전세","201912","11","4,000","0","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27.43","월세","201912","30","100","7","2007","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","202002","6","3,500","0","2000","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","202002","10","4,000","0","2011","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","201912","18","5,000","0","2006","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","202001","20","5,500","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","201911","25","5,000","0","2006","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","202002","27","5,000","0","2006","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","202001","30","4,000","0","2011","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.43","전세","201912","30","6,000","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","28","월세","201911","4","500","35","null","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28","월세","202004","11","300","34","2012","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28","월세","202002","15","300","30","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","28","월세","202004","16","3,000","20","2016","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28","월세","202002","23","300","36","2012","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","28","월세","202002","23","300","37","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","28","전세","202001","31","5,000","0","2016","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28.6","전세","202006","22","4,000","0","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","29","월세","202002","16","300","35","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","29","월세","202007","20","500","35","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","29","월세","202007","29","300","35","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","29","전세","202001","22","5,000","0","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","29","전세","202002","24","4,000","0","2006","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202010","1","3,000","17","2006","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202009","2","300","32","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202008","3","1,000","35","2002","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201912","6","2,000","20","2003","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202005","10","1,000","30","2011","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","월세","202001","13","4,500","13","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202010","15","300","35","null","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202001","16","1,000","31","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202002","17","100","27","2006","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202005","20","700","30","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","월세","202003","21","1,000","35","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","월세","202002","21","3,500","4","null","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","202002","22","300","37","2017","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202007","23","100","25","2004","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202002","25","200","33","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201911","25","500","32","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","201911","25","500","35","2017","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202003","27","100","21","2001","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202007","31","200","28","2004","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202001","31","1,000","30","2019","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202001","3","3,000","0","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202008","4","3,000","0","2004","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202003","11","5,000","0","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202006","13","5,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202006","13","6,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","전세","202009","14","4,000","0","2003","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202003","16","3,000","0","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202001","17","5,000","0","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","전세","202006","17","5,500","0","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30.65","월세","202008","27","4,500","3","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","33","월세","202006","1","1,000","35","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202001","2","300","34","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201911","2","1,000","30","2007","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202004","3","2,000","20","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202002","3","5,000","10","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202008","4","300","35","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202003","6","200","32","null","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202002","6","300","31","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202001","6","4,000","5","null","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202005","8","300","32","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202009","8","2,000","25","2016","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202002","8","2,000","20","2007","가호로","-","-","-","",""
