"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181101 ~ 20191031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201812","13","3,000","10","2008","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201910","15","500","30","2006","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","201902","16","200","30","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","30","월세","201907","16","300","30","2014","강변길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201811","17","100","20","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201811","17","100","20","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","월세","201907","19","3,500","12","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","201905","21","1,000","26","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","30","월세","201812","22","300","33","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","월세","201909","23","100","24","2002","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201903","23","100","23","2000","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201909","24","100","20","2001","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201910","24","800","32","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","월세","201909","24","3,000","20","2011","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201903","26","5,000","3","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201903","20","3,000","0","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201812","21","5,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","전세","201909","25","4,000","0","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201904","29","3,500","0","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30.65","월세","201902","18","3,500","10","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30.65","월세","201902","18","3,500","10","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","31.07","전세","201903","8","4,000","0","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","32.75","월세","201901","8","5,000","5","2008","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","32.75","월세","201901","28","5,000","5","2008","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201908","1","300","41","2013","호탄길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","33","월세","201901","1","1,000","37","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201902","2","300","30","2003","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201910","2","2,500","17","2002","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201903","4","300","30","2001","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201907","8","500","25","2002","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201906","10","100","26","2002","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201905","11","100","35","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","201907","13","500","30","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201910","13","4,000","5","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201812","13","5,500","3","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201910","14","100","17","2001","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201901","15","200","27","2000","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201901","16","100","34","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201909","16","200","25","2001","호탄길21번길","-","-","-","",""
