"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20211231"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 가좌동","1***","-","20","월세","202110","1","100","27","2017","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202110","2","20","20","1989","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202101","2","300","38","2018","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","월세","202111","6","300","30","1987","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","20","월세","202102","9","200","35","2016","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202112","9","200","30","1986","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202103","10","4,500","4","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","5**","25m미만","20","월세","202101","12","300","38","2019","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","15","300","30","2017","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","15","2,500","20","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202108","15","3,000","25","2021","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","16","300","30","2019","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202111","16","300","30","2016","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","월세","202104","17","100","15","2014","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","17","300","31","2018","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","월세","202104","17","1,500","25","null","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","18","200","30","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","월세","202102","18","500","25","2018","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","19","300","23","2016","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202102","20","100","15","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","202102","20","300","33","2019","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202112","20","300","30","2019","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202108","20","300","33","2012","가좌길40번길","-","-","-","",""
