"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20151101 ~ 20161031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","8m미만","13.2","월세","201602","29","3,500","5","2014","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","16.5","월세","201607","16","300","25","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","19.83","월세","201601","9","200","25","2008","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","21","월세","201604","18","100","12","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","21","월세","201603","28","100","20","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","23","월세","201609","23","2,000","25","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","23.14","월세","201606","25","300","31","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24","전세","201601","4","4,000","0","2001","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","24.28","전세","201610","20","4,000","0","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","24.47","전세","201601","8","4,500","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201602","11","2,000","12","null","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","월세","201603","12","500","35","2014","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","25","월세","201604","12","3,000","6","2002","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","8**","8m미만","25","월세","201601","16","300","32","2014","가호방아길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201610","20","3,000","15","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201601","22","100","22","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201605","23","2,000","23","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","25m미만","25","월세","201602","28","200","30","2012","강변길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","25.13","전세","201601","14","3,500","0","1999","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25.13","전세","201601","15","3,500","0","1999","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","월세","201602","6","1,000","30","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","26","월세","201601","25","1,000","25","2001","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","전세","201608","10","4,500","0","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.4","월세","201605","1","500","33","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","26.4","월세","201601","28","2,000","15","2010","강변길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.44","월세","201607","7","2,500","23","2012","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","26.44","월세","201607","15","2,500","23","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.44","월세","201608","30","2,500","20","2016","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.45","월세","201608","25","3,000","15","2012","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.5","월세","201601","9","1,000","20","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","7**","12m미만","26.79","월세","201610","5","1,500","45","2014","가호방아길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","월세","201512","19","2,000","20","2014","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27","월세","201607","22","4,000","5","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","27.96","전세","201602","11","4,500","0","2002","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28","월세","201607","11","1,000","27","2006","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","28","월세","201601","18","100","21","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","29","월세","201610","26","3,500","7","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","8**","8m미만","29.75","월세","201606","25","300","32","2014","가호방아길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201511","1","1,000","23","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201607","1","1,000","32","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201609","3","300","38","2011","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201603","5","300","25","2002","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201602","5","5,000","25","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201605","9","500","37","2003","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201601","9","1,000","30","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201609","10","300","37","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201609","10","300","35","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201605","10","500","31","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201512","10","1,000","32","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","30","월세","201607","22","1,500","30","2014","강변길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201610","23","100","20","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","30","월세","201609","26","500","43","2014","강변길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201603","27","1,000","30","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201608","28","300","38","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","월세","201602","28","3,000","12","2002","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","201605","30","1,000","28","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","전세","201609","1","2,300","0","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201604","4","3,500","0","2002","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201608","11","4,000","0","2002","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201605","19","4,500","0","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","201606","30","2,500","0","2000","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30.65","월세","201601","25","3,500","8","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30.65","전세","201601","25","4,000","0","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30.65","전세","201608","29","4,000","0","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","31.4","월세","201610","31","7,000","10","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","32.76","전세","201601","22","4,500","0","2008","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","32.76","전세","201601","22","4,500","0","2008","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201606","1","100","22","1999","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201605","1","300","37","2008","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201606","1","500","21","2001","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201609","2","300","31","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201601","2","1,000","33","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201608","2","1,000","31","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201601","3","300","26","2002","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201601","4","300","35","2005","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201609","4","500","35","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","201608","5","1,000","27","2002","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201601","6","200","25","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201512","7","4,000","3","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201605","9","200","30","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201606","9","400","35","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201608","9","1,000","20","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201605","9","1,000","32","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201608","11","500","31","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201608","11","3,000","10","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201601","11","3,500","5","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201602","13","500","32","2004","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201606","13","500","20","2001","호탄길27번길","-","-","-","",""
