"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20171101 ~ 20181031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","8m미만","13","월세","201810","8","3,000","5","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","20","월세","201801","11","200","33","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","21","월세","201801","13","4,000","6","2001","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","21","전세","201804","9","5,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","21","전세","201805","24","5,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","201802","19","300","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","201806","23","300","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24","전세","201806","11","4,500","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24","전세","201805","21","2,000","0","2001","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","24.27","전세","201802","6","4,000","0","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24.27","전세","201802","6","4,000","0","2001","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24.47","월세","201802","2","5,000","10","2007","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","24.47","전세","201802","2","5,000","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","24.47","전세","201806","14","6,000","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","월세","201803","1","3,000","11","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201711","6","4,000","5","2000","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201804","7","3,000","20","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201807","21","3,000","15","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201807","22","1,500","24","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","25","월세","201802","23","3,000","8","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","월세","201804","25","300","30","2002","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201810","29","1,000","35","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","25","월세","201808","30","4,000","10","2012","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201803","30","4,500","2","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","전세","201808","8","4,500","0","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","전세","201711","15","3,500","0","2000","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","전세","201809","28","4,000","0","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","26","월세","201802","14","2,000","25","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","월세","201810","30","500","32","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.24","전세","201712","7","4,500","0","2008","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.4","월세","201804","12","4,500","13","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.4","전세","201804","3","4,000","0","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","26.44","월세","201802","21","3,000","15","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.44","월세","201801","23","100","37","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.44","전세","201712","2","3,700","0","2002","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.45","월세","201712","16","500","35","2011","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.45","월세","201712","26","200","28","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.45","월세","201712","28","50","36","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.6","월세","201712","10","4,000","10","2006","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27","전세","201806","25","5,000","0","2006","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.52","전세","201711","23","3,000","0","2000","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.96","월세","201809","19","5,000","13","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.96","월세","201806","21","5,000","20","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","27.96","월세","201806","28","5,500","12","2002","null","-","-","-","",""
