"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221130"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 가좌동","5**","12m미만","19.3","월세","202202","18","100","24","2006","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","19.56","월세","202202","24","100","27","2016","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","19.8","월세","202209","16","2,000","5","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","19.8","월세","202202","25","300","30","2014","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","19.8","월세","202208","31","300","38","2021","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","19.83","월세","202202","4","200","32","1996","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","8**","25m미만","19.83","월세","202201","8","200","30","2019","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","19.83","월세","202206","27","300","30","2022","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","2***","25m이상","19.85","월세","202210","15","500","42","null","개양로","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202209","1","200","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","1","300","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","2","300","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","2","300","30","2019","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","3","300","30","2015","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","4","100","32","2018","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","4","300","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","5","200","30","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202205","5","200","20","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","5","300","25","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","6","300","30","1988","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","7","300","30","null","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","8","300","28","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","20","월세","202207","9","250","30","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","9","300","30","2019","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","11","100","27","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","11","200","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","12","300","30","2019","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","202208","12","300","30","2015","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","12","300","30","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","12","300","30","null","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","202208","13","300","30","null","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","202201","14","300","30","2010","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","16","300","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","17","500","30","2019","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","18","300","30","2019","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","18","300","30","2015","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","202206","18","300","35","2011","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","19","300","30","2019","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","19","300","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","19","300","27","2014","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","20","300","30","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","21","50","30","2018","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","23","100","15","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202204","23","100","23","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202201","23","300","30","2015","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","24","300","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","24","300","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","25m이상","20","월세","202202","25","200","30","2012","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","25m이상","20","월세","202202","25","200","30","2012","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","-","20","월세","202207","25","300","30","2015","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202210","25","300","30","2020","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202202","25","4,000","20","2018","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","월세","202201","25","4,500","5","2016","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","26","100","27","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202202","27","300","30","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","20","월세","202206","28","500","30","2022","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","202201","29","100","29","2018","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","20","월세","202201","29","100","31","2015","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","202201","29","300","30","2016","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202207","29","500","30","2018","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","202203","31","100","15","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","전세","202201","1","5,000","0","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","202201","3","5,000","0","2019","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","전세","202202","3","5,000","0","2012","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","전세","202201","6","5,000","0","2018","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","전세","202202","12","4,000","0","2016","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","전세","202207","13","2,000","0","2014","가호로4번길","-","-","-","",""
