"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201101 ~ 20211031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202103","10","500","35","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202012","11","200","31","2018","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202101","15","200","28","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202011","16","300","28","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","30","월세","202102","19","300","35","2018","가호로61번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202107","19","1,000","30","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","월세","202012","20","200","27","2002","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202101","20","200","28","2004","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202105","20","300","33","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202102","21","200","32","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202109","23","200","28","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","202012","24","3,000","5","null","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30","월세","202011","26","1,000","30","2017","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202104","27","1,200","27","2002","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202102","27","2,000","20","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202110","29","500","30","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","월세","202107","31","400","30","2000","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","30","월세","202012","31","1,500","30","2014","강변길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202104","3","5,000","0","2003","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202105","15","4,500","0","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","30","전세","202108","18","3,500","0","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202012","20","3,500","0","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30","전세","202106","24","4,500","0","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30","전세","202101","25","5,500","0","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","30.2","전세","202109","30","9,000","0","2011","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","30.65","월세","202102","18","4,000","5","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","30.65","전세","202012","17","4,500","0","2001","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202103","1","1,200","30","2011","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202104","2","1,000","40","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202104","2","3,000","10","2005","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202107","4","1,500","25","2009","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202103","6","500","33","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202103","6","3,000","30","2016","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202102","8","300","30","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202107","8","1,000","35","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202101","9","500","33","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202110","9","500","30","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202105","9","700","30","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202103","11","200","32","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202107","12","300","40","2013","호탄길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202104","13","3,000","15","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202011","14","200","33","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202106","14","200","30","2007","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202102","15","100","20","2002","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202103","15","300","33","2012","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202109","16","300","28","2009","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202101","16","500","40","2016","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202011","16","1,000","40","2016","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202103","16","1,000","30","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202104","16","1,000","29","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202101","16","1,500","26","2013","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202106","17","200","24","2008","호탄길10번길","-","-","-","",""
