시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,경도,위도,year,month,location,전월세전환율,전세전환가격,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경상남도 진주시 가좌동,4**,12,19.8,월세,202202,25,300,30,2014,개양로13번길,128.1085555,35.1565802,2022,2,경상남도 진주시 가좌동 개양로13번길,4.3,8672,경상남도 진주시 가좌동 개양로13번길,128.1085555,35.1565802,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로13번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,19.83,월세,202202,4,200,32,1996,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,9130,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,2,300,30,2016,가좌길40번길,128.1058894,35.157466,2022,2,경상남도 진주시 가좌동 가좌길40번길,4.3,8672,경상남도 진주시 가좌동 가좌길40번길,128.1058894,35.157466,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길40번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,3,300,30,2015,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8672,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,4,100,32,2018,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,9030,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,12,300,30,2007,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,12,300,30,2017,가좌길40번길,128.1058894,35.157466,2022,2,경상남도 진주시 가좌동 가좌길40번길,4.3,8672,경상남도 진주시 가좌동 가좌길40번길,128.1058894,35.157466,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길40번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,16,300,30,2016,가좌길40번길,128.1058894,35.157466,2022,2,경상남도 진주시 가좌동 가좌길40번길,4.3,8672,경상남도 진주시 가좌동 가좌길40번길,128.1058894,35.157466,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길40번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,17,500,30,2019,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8872,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,18,300,30,2015,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,18,300,30,2019,가좌길40번길,128.1058894,35.157466,2022,2,경상남도 진주시 가좌동 가좌길40번길,4.3,8672,경상남도 진주시 가좌동 가좌길40번길,128.1058894,35.157466,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길40번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,19,300,27,2014,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,7835,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,19,300,30,2016,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,19,300,30,2019,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8672,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,21,50,30,2018,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8422,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,23,100,15,2010,진주대로404번길,128.1033275,35.1452897,2022,2,경상남도 진주시 가좌동 진주대로404번길,4.3,4286,경상남도 진주시 가좌동 진주대로404번길,128.1033275,35.1452897,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로404번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,24,300,30,2016,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,5**,25,20,월세,202202,25,200,30,2012,내동로348번길,128.1020264,35.149158,2022,2,경상남도 진주시 가좌동 내동로348번길,4.3,8572,경상남도 진주시 가좌동 내동로348번길,128.1020264,35.149158,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 내동로348번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,5**,25,20,월세,202202,25,200,30,2012,내동로348번길,128.1020264,35.149158,2022,2,경상남도 진주시 가좌동 내동로348번길,4.3,8572,경상남도 진주시 가좌동 내동로348번길,128.1020264,35.149158,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 내동로348번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,월세,202202,25,4000,20,2018,가좌길44번길,128.1060436,35.1578174,2022,2,경상남도 진주시 가좌동 가좌길44번길,4.3,9581,경상남도 진주시 가좌동 가좌길44번길,128.1060436,35.1578174,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길44번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,월세,202202,27,300,30,2016,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8672,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,20,전세,202202,3,5000,0,2012,진주대로542번길,128.1084984,35.1549036,2022,2,경상남도 진주시 가좌동 진주대로542번길,4.3,5000,경상남도 진주시 가좌동 진주대로542번길,128.1084984,35.1549036,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로542번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,전세,202202,12,4000,0,2016,가좌길78번길,128.106519,35.1604762,2022,2,경상남도 진주시 가좌동 가좌길78번길,4.3,4000,경상남도 진주시 가좌동 가좌길78번길,128.106519,35.1604762,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길78번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,전세,202202,15,5000,0,2018,가좌길44번길,128.1060436,35.1578174,2022,2,경상남도 진주시 가좌동 가좌길44번길,4.3,5000,경상남도 진주시 가좌동 가좌길44번길,128.1060436,35.1578174,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길44번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,20,전세,202202,15,6000,0,2018,가좌길44번길,128.1060436,35.1578174,2022,2,경상남도 진주시 가좌동 가좌길44번길,4.3,6000,경상남도 진주시 가좌동 가좌길44번길,128.1060436,35.1578174,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길44번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,20,전세,202202,26,4500,0,1989,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,4500,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,8**,8,20,전세,202202,26,4500,0,2015,가좌길29번길,128.0998978,35.158679,2022,2,경상남도 진주시 가좌동 가좌길29번길,4.3,4500,경상남도 진주시 가좌동 가좌길29번길,128.0998978,35.158679,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길29번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,5**,12,20.3,월세,202202,5,300,30,2006,내동로348번길,128.1020264,35.149158,2022,2,경상남도 진주시 가좌동 내동로348번길,4.3,8672,경상남도 진주시 가좌동 내동로348번길,128.1020264,35.149158,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 내동로348번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,20.3,월세,202202,18,3000,20,2011,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,8581,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,20.3,전세,202202,4,4000,0,2011,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,4000,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,20.3,전세,202202,17,4000,0,2011,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,4000,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,20.3,전세,202202,24,4000,0,2011,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,4000,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
