,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,경도,위도,year,month,location,전월세전환율,전세전환가격,coivd,price_per_m2,gnu_distance,전월세구분_월세,전월세구분_전세
27,경상남도 진주시 가좌동,8**,8,20.0,201902,19,4500,0,2015,가좌길29번길,128.1075512,35.1524345,2019,2,경상남도 진주시 가좌동 가좌길29번길,5.1,4500,0,225.0,0.5913321840195519,False,True
28,경상남도 진주시 가좌동,1***,8,20.0,201902,24,5000,0,2016,가좌길48번길,128.1088389,35.1551106,2019,2,경상남도 진주시 가좌동 가좌길48번길,5.1,5000,0,250.0,0.7410075237631446,False,True
29,경상남도 진주시 가좌동,1***,8,20.0,201908,24,5000,0,2019,가좌길48번길,128.1048819,35.150661,2019,8,경상남도 진주시 가좌동 가좌길48번길,5.5,5000,0,250.0,0.4348472439529899,False,True
30,경상남도 진주시 가좌동,1***,8,20.0,201912,25,5000,0,2019,가좌길48번길,128.1059656,35.1569611,2019,12,경상남도 진주시 가좌동 가좌길48번길,5.1,5000,0,250.0,0.6214155116249331,False,True
31,경상남도 진주시 가좌동,1***,12,20.0,201911,27,3500,0,2015,진주대로404번길,128.1085555,35.1565802,2019,11,경상남도 진주시 가좌동 진주대로404번길,5.1,3500,0,175.0,0.7843704543021701,False,True
32,경상남도 진주시 가좌동,6**,8,20.0,201912,27,4000,0,2014,가호로4번길,128.0998978,35.158679,2019,12,경상남도 진주시 가좌동 가호로4번길,5.1,4000,0,200.0,0.6358430325214474,False,True
33,경상남도 진주시 가좌동,6**,8,20.0,201912,28,4000,0,2014,가호로4번길,128.1059656,35.1569611,2019,12,경상남도 진주시 가좌동 가호로4번길,5.1,4000,0,200.0,0.6214155116249331,False,True
34,경상남도 진주시 가좌동,1***,12,20.0,201908,30,3000,0,2014,진주대로404번길,128.1033275,35.1452897,2019,8,경상남도 진주시 가좌동 진주대로404번길,5.5,3000,0,150.0,0.8859574724741465,False,True
35,경상남도 진주시 가좌동,1***,8,20.0,201911,30,5000,0,2019,가좌길48번길,128.1061876,35.158872,2019,11,경상남도 진주시 가좌동 가좌길48번길,5.1,5000,0,250.0,0.7966681610717595,False,True
36,경상남도 진주시 가좌동,1***,12,20.1,201902,28,4000,3,2014,진주대로404번길,128.1065401,35.1598001,2019,2,경상남도 진주시 가좌동 진주대로404번길,5.1,4706,0,234.12935323383084,0.8998915556844954,True,False
37,경상남도 진주시 가좌동,1***,12,20.1,201907,16,5000,0,2014,진주대로404번길,128.1033275,35.1452897,2019,7,경상남도 진주시 가좌동 진주대로404번길,5.4,5000,0,248.75621890547262,0.8859574724741465,False,True
38,경상남도 진주시 가좌동,4**,12,20.3,201912,14,4500,0,2011,개양로6번길,128.1058894,35.157466,2019,12,경상남도 진주시 가좌동 개양로6번길,5.1,4500,0,221.67487684729062,0.6573556463088326,False,True
39,경상남도 진주시 가좌동,4**,12,20.3,201911,21,5000,0,2010,개양로6번길,128.1065401,35.1598001,2019,11,경상남도 진주시 가좌동 개양로6번길,5.1,5000,0,246.30541871921181,0.8998915556844954,False,True
40,경상남도 진주시 가좌동,1***,12,20.83,201901,17,2000,20,1989,가좌길36번길,128.1069924,35.1531471,2019,1,경상남도 진주시 가좌동 가좌길36번길,5.3,6528,0,313.39414306289007,0.5367461498874363,True,False
41,경상남도 진주시 가좌동,4**,12,21.0,201901,3,300,40,2007,가좌안골길24번길,128.1061209,35.158214,2019,1,경상남도 진주시 가좌동 가좌안골길24번길,5.3,9357,0,445.57142857142856,0.734593828027677,True,False
42,경상남도 진주시 가좌동,5**,12,21.0,201906,17,300,40,2008,진주대로500번길,128.1048819,35.150661,2019,6,경상남도 진주시 가좌동 진주대로500번길,5.3,9357,0,445.57142857142856,0.4348472439529899,True,False
43,경상남도 진주시 가좌동,5**,12,21.0,201902,27,300,35,2009,진주대로500번길,128.1048819,35.150661,2019,2,경상남도 진주시 가좌동 진주대로500번길,5.1,8535,0,406.42857142857144,0.4348472439529899,True,False
44,경상남도 진주시 가좌동,1***,8,22.0,201901,2,4000,5,1989,가좌길84번길,128.1048819,35.150661,2019,1,경상남도 진주시 가좌동 가좌길84번길,5.3,5132,0,233.27272727272728,0.4348472439529899,True,False
45,경상남도 진주시 가좌동,8**,8,22.0,201912,31,500,38,2012,가좌길29번길,128.1061209,35.158214,2019,12,경상남도 진주시 가좌동 가좌길29번길,5.1,9441,0,429.1363636363636,0.734593828027677,True,False
46,경상남도 진주시 가좌동,1***,12,22.5,201902,16,100,25,2007,진주대로404번길,128.1088389,35.1551106,2019,2,경상남도 진주시 가좌동 진주대로404번길,5.1,5982,0,265.8666666666667,0.7410075237631446,True,False
47,경상남도 진주시 가좌동,5**,12,23.0,201912,1,5000,4,2011,진주대로500번길,128.1061876,35.158872,2019,12,경상남도 진주시 가좌동 진주대로500번길,5.1,5941,0,258.30434782608694,0.7966681610717595,True,False
48,경상남도 진주시 가좌동,1***,8,23.0,201912,21,200,32,1989,가좌길60번길,128.1020264,35.149158,2019,12,경상남도 진주시 가좌동 가좌길60번길,5.1,7729,0,336.04347826086956,0.44045581996382116,True,False
49,경상남도 진주시 가좌동,5**,12,23.0,201911,29,5000,4,2011,진주대로500번길,128.1062979,35.1592505,2019,11,경상남도 진주시 가좌동 진주대로500번길,5.1,5941,0,258.30434782608694,0.8368933157814341,True,False
50,경상남도 진주시 가좌동,1***,12,23.0,201907,6,4500,0,1989,가좌길36번길,128.1088389,35.1551106,2019,7,경상남도 진주시 가좌동 가좌길36번길,5.4,4500,0,195.65217391304347,0.7410075237631446,False,True
51,경상남도 진주시 가좌동,1***,8,23.0,201902,8,4500,0,2016,가좌길78번길,128.1058894,35.157466,2019,2,경상남도 진주시 가좌동 가좌길78번길,5.1,4500,0,195.65217391304347,0.6573556463088326,False,True
52,경상남도 진주시 가좌동,5**,12,23.0,201911,20,5000,0,2011,진주대로500번길,128.1061876,35.158872,2019,11,경상남도 진주시 가좌동 진주대로500번길,5.1,5000,0,217.3913043478261,0.7966681610717595,False,True
53,경상남도 진주시 가좌동,1***,12,23.1,201909,2,3000,10,2014,진주대로404번길,128.106519,35.1604762,2019,9,경상남도 진주시 가좌동 진주대로404번길,5.4,5222,0,226.06060606060603,0.9625518864565211,True,False
54,경상남도 진주시 가좌동,1***,12,23.1,201910,8,4000,0,2014,진주대로404번길,128.1060436,35.1578174,2019,10,경상남도 진주시 가좌동 진주대로404번길,5.3,4000,0,173.16017316017314,0.6960564860685696,False,True
55,경상남도 진주시 가좌동,4**,12,23.4,201902,22,4500,0,2018,개양로6번길,128.10916,35.1571476,2019,2,경상남도 진주시 가좌동 개양로6번길,5.1,4500,0,192.30769230769232,0.863970792077462,False,True
56,경상남도 진주시 가좌동,1***,8,24.0,201912,25,300,39,2017,가좌길36번길,128.1059656,35.1569611,2019,12,경상남도 진주시 가좌동 가좌길36번길,5.1,9476,0,394.8333333333333,0.6214155116249331,True,False
57,경상남도 진주시 가좌동,1***,8,25.0,201912,3,200,30,1989,가좌길40번길,128.1033275,35.1452897,2019,12,경상남도 진주시 가좌동 가좌길40번길,5.1,7259,0,290.36,0.8859574724741465,True,False
58,경상남도 진주시 가좌동,4**,12,25.0,201903,3,3000,20,2012,가좌안골길14번길,128.1060436,35.1578174,2019,3,경상남도 진주시 가좌동 가좌안골길14번길,5.1,7706,0,308.24,0.6960564860685696,True,False
59,경상남도 진주시 가좌동,1***,8,25.0,201901,4,300,31,2014,진주대로404번길,128.1060436,35.1578174,2019,1,경상남도 진주시 가좌동 진주대로404번길,5.3,7319,0,292.76,0.6960564860685696,True,False
60,경상남도 진주시 가좌동,5**,12,25.0,201901,4,500,40,2007,진주대로500번길,128.1061209,35.158214,2019,1,경상남도 진주시 가좌동 진주대로500번길,5.3,9557,0,382.28,0.734593828027677,True,False
61,경상남도 진주시 가좌동,5**,12,25.0,201904,5,300,33,2007,진주대로500번길,128.10916,35.1571476,2019,4,경상남도 진주시 가좌동 진주대로500번길,5.3,7772,0,310.88,0.863970792077462,True,False
62,경상남도 진주시 가좌동,4**,12,25.0,201907,5,1500,32,2008,가좌안골길16번길,128.1062979,35.1592505,2019,7,경상남도 진주시 가좌동 가좌안골길16번길,5.4,8611,0,344.44,0.8368933157814341,True,False
63,경상남도 진주시 가좌동,1***,8,25.0,201901,6,300,35,2008,가좌길29번길,128.1061209,35.158214,2019,1,경상남도 진주시 가좌동 가좌길29번길,5.3,8225,0,329.0,0.734593828027677,True,False
64,경상남도 진주시 가좌동,1***,8,25.0,201901,6,1000,33,2016,가좌길48번길,128.1060436,35.1578174,2019,1,경상남도 진주시 가좌동 가좌길48번길,5.3,8472,0,338.88,0.6960564860685696,True,False
65,경상남도 진주시 가좌동,4**,12,25.0,201902,7,300,36,2010,개양로5번길,128.1062979,35.1592505,2019,2,경상남도 진주시 가좌동 개양로5번길,5.1,8771,0,350.84,0.8368933157814341,True,False
