iter	RMSE
0	96.428225
1	92.97654949
2	89.71532202
3	86.68736103
4	83.98127254
5	81.43421109
6	79.08088472
7	76.96508277
8	75.07192148
9	73.20073097
10	71.65542147
11	70.01784199
12	68.6663778
13	67.32520931
14	66.09943041
15	64.96535414
16	64.00185053
17	63.08730071
18	62.21955386
19	61.44342529
20	60.74069095
21	60.10921683
22	59.48612095
23	58.9034632
24	58.38296732
25	57.87847668
26	57.43220783
27	57.01231193
28	56.628599
29	56.26194851
30	55.97872319
31	55.66514296
32	55.39603392
33	55.16745996
34	54.92153012
35	54.69342146
36	54.49131982
37	54.29578201
38	54.1120969
39	53.93759954
40	53.78899496
41	53.65798911
42	53.52373758
43	53.41538551
44	53.28037717
45	53.19233095
46	53.0648522
47	52.93945053
48	52.84506043
49	52.72204534
50	52.62970882
51	52.52604386
52	52.44444251
53	52.37341462
54	52.29107618
55	52.20671229
56	52.14400919
57	52.07287522
58	52.01034797
59	51.93066607
60	51.878243
61	51.79494282
62	51.7374368
63	51.66887658
64	51.60431753
65	51.55321452
66	51.49584267
67	51.44212308
68	51.39911489
69	51.35857804
70	51.32264345
71	51.26696158
72	51.21342131
73	51.1746522
74	51.13667246
75	51.08821412
76	51.04930803
77	51.00155731
78	50.95978643
79	50.92245919
80	50.91193638
81	50.88074425
82	50.8395335
83	50.82111452
84	50.77179464
85	50.74845855
86	50.70757151
87	50.68478196
88	50.65348093
89	50.61327147
90	50.57160473
91	50.5226886
92	50.49533776
93	50.47340377
94	50.45011918
95	50.42125478
96	50.40338393
97	50.36411953
98	50.33759178
99	50.31688132
100	50.29050231
101	50.26060953
102	50.23835108
103	50.20794775
104	50.17466629
105	50.14484077
106	50.11826339
107	50.09550575
108	50.07644592
109	50.05250024
110	50.04042104
111	50.00903472
112	49.98890233
113	49.97242803
114	49.9456447
115	49.92041448
116	49.88446436
117	49.87485471
118	49.85658479
119	49.83373733
120	49.80655093
121	49.78696394
122	49.76769739
123	49.75163366
124	49.73902823
125	49.71856112
126	49.70235323
127	49.68930435
128	49.66049829
129	49.63737141
130	49.61645804
131	49.60090065
132	49.58201888
133	49.56054266
134	49.53201292
135	49.50847468
136	49.49332405
137	49.47821286
138	49.45325276
139	49.4383857
140	49.40866495
141	49.38986112
142	49.37179198
143	49.35642896
144	49.33032628
145	49.2978262
146	49.28127274
147	49.26603448
148	49.25293429
149	49.23872229
150	49.23075025
151	49.20904703
152	49.19210096
153	49.18070745
154	49.17041589
155	49.15272815
156	49.13064203
157	49.1190218
158	49.10609188
159	49.08957252
160	49.07126762
161	49.04251624
162	49.03039413
163	49.02118606
164	49.01304672
165	48.99990737
166	48.97756601
167	48.95889996
168	48.94485963
169	48.93240915
170	48.9201057
171	48.89314015
172	48.86880374
173	48.86031113
174	48.84975023
175	48.84119933
176	48.8146247
177	48.79651224
178	48.78132148
179	48.75276555
180	48.72742172
181	48.70590919
182	48.68002492
183	48.66055464
184	48.64036272
185	48.6274664
186	48.61560582
187	48.605439
188	48.58273355
189	48.57093061
190	48.56084265
191	48.54964542
192	48.53842144
193	48.52458964
194	48.51154503
195	48.49927478
196	48.49014264
197	48.48063503
198	48.46217877
199	48.44195819
200	48.42398021
201	48.40884685
202	48.38778127
203	48.37769737
204	48.3552777
205	48.33460722
206	48.31712584
